Date,Value,labels,A,B,C,D,E,prod_%_diff
2007-01-01,11802035900,2007-01-01T00:00:00,9,4,0,0,0,0.0
2007-02-01,10625649100,2007-02-01T00:00:00,10,3,0,0,0,-9.96765990179711
2007-03-01,11857260000,2007-03-01T00:00:00,20,4,0,0,0,11.590923890004978
2007-04-01,11494242300,2007-04-01T00:00:00,73,58,8,0,1,-3.0615648134560636
2007-05-01,11691035100,2007-05-01T00:00:00,190,60,10,4,2,1.7120989349598048
2007-06-01,10969959700,2007-06-01T00:00:00,174,73,12,8,8,-6.167763537037018
2007-07-01,11288091400,2007-07-01T00:00:00,282,98,18,11,10,2.900026150506285
2007-08-01,11454413900,2007-08-01T00:00:00,152,17,2,5,6,1.473433321066131
2007-09-01,10837386100,2007-09-01T00:00:00,69,8,0,0,2,-5.386812502034699
2007-10-01,11329483100,2007-10-01T00:00:00,49,22,0,0,2,4.540735150148434
2007-11-01,10838370800,2007-11-01T00:00:00,43,15,1,0,0,-4.334816475431258
2007-12-01,11183664700,2007-12-01T00:00:00,30,7,0,0,0,3.185846898687017
2008-01-01,10980935700,2008-01-01T00:00:00,37,8,1,0,0,-1.8127242316197112
2008-02-01,10147513800,2008-02-01T00:00:00,37,9,1,0,0,-7.589716603112429
2008-03-01,11150199500,2008-03-01T00:00:00,56,18,4,0,0,9.881097180670984
2008-04-01,10919866200,2008-04-01T00:00:00,88,30,9,0,0,-2.0657325458616205
2008-05-01,10995861300,2008-05-01T00:00:00,310,125,20,3,1,0.6959343512835447
2008-06-01,10390330200,2008-06-01T00:00:00,220,114,24,3,5,-5.506900127959957
2008-07-01,10952690100,2008-07-01T00:00:00,310,109,16,5,6,5.41233906117824
2008-08-01,10860352600,2008-08-01T00:00:00,181,48,11,5,4,-0.8430577251519189
2008-09-01,10401685700,2008-09-01T00:00:00,72,16,4,6,2,-4.22331499623686
2008-10-01,10722789700,2008-10-01T00:00:00,73,26,7,4,1,3.087038094219663
2008-11-01,10375347200,2008-11-01T00:00:00,23,8,3,1,0,-3.2402248828959146
2008-12-01,10337836500,2008-12-01T00:00:00,12,7,0,2,0,-0.361536816811292
2009-01-01,10364157300,2009-01-01T00:00:00,15,7,3,2,0,0.25460646432162726
2009-02-01,9572810600,2009-02-01T00:00:00,18,14,4,2,0,-7.635417690929868
2009-03-01,10485242000,2009-03-01T00:00:00,32,12,4,2,0,9.531489111463243
2009-04-01,10344389600,2009-04-01T00:00:00,95,49,7,4,0,-1.3433395242570478
2009-05-01,10300282300,2009-05-01T00:00:00,345,132,24,8,2,-0.4263886193922928
2009-06-01,9932244200,2009-06-01T00:00:00,296,122,38,12,14,-3.573087506543393
2009-07-01,10157096800,2009-07-01T00:00:00,148,34,5,6,14,2.2638649984058956
2009-08-01,9984667000,2009-08-01T00:00:00,149,39,7,1,2,-1.6976287948737512
2009-09-01,9118634900,2009-09-01T00:00:00,138,40,4,1,2,-8.673620261947645
2009-10-01,9485261800,2009-10-01T00:00:00,45,9,3,1,1,4.020633614796876
2009-11-01,9442642900,2009-11-01T00:00:00,23,3,5,1,2,-0.4493170657661749
2009-12-01,9404811000,2009-12-01T00:00:00,22,1,3,1,2,-0.400649483419524
2010-01-01,9587092300,2010-01-01T00:00:00,37,5,5,1,2,1.9381707936501957
2010-02-01,8787291700,2010-02-01T00:00:00,51,11,5,1,2,-8.342473139640061
2010-03-01,9863017800,2010-03-01T00:00:00,84,40,13,2,1,12.24183897297959
2010-04-01,9622388700,2010-04-01T00:00:00,178,145,31,4,1,-2.4397106938203073
2010-05-01,9790009400,2010-05-01T00:00:00,169,92,24,4,1,1.741986373923976
2010-06-01,9112047000,2010-06-01T00:00:00,186,109,32,10,4,-6.925043401899078
2010-07-01,9584063800,2010-07-01T00:00:00,289,152,42,9,16,5.180140093658436
2010-08-01,9586635100,2010-08-01T00:00:00,89,46,19,2,13,0.02682891155210143
2010-09-01,8953293400,2010-09-01T00:00:00,16,8,4,1,11,-6.606506802371149
2010-10-01,9294761500,2010-10-01T00:00:00,36,28,7,3,0,3.813882609945529
2010-11-01,8801163600,2010-11-01T00:00:00,20,15,4,0,0,-5.310495594749797
2010-12-01,9180499900,2010-12-01T00:00:00,8,6,3,0,0,4.310069863943888
2011-01-01,9074097300,2011-01-01T00:00:00,10,7,3,0,0,-1.1590066026796686
2011-02-01,8251698600,2011-02-01T00:00:00,22,9,3,0,0,-9.063146148983881
2011-03-01,9091712400,2011-03-01T00:00:00,33,12,3,0,0,10.179889507840233
2011-04-01,9104141800,2011-04-01T00:00:00,111,54,4,1,0,0.13671131964094752
2011-05-01,9051266800,2011-05-01T00:00:00,176,189,28,13,21,-0.5807796183490921
2011-06-01,8796907500,2011-06-01T00:00:00,83,26,8,6,27,-2.8102066331753717
2011-07-01,9156216300,2011-07-01T00:00:00,141,26,5,2,19,4.084489918758383
2011-08-01,9059126600,2011-08-01T00:00:00,133,26,5,0,12,-1.0603692269698817
2011-09-01,8632952800,2011-09-01T00:00:00,102,19,6,0,12,-4.7043585857382775
2011-10-01,8914243200,2011-10-01T00:00:00,41,12,8,0,7,3.2583335796762425
2011-11-01,8859161600,2011-11-01T00:00:00,31,9,3,0,7,-0.6179055110365428
2011-12-01,9286980100,2011-12-01T00:00:00,19,7,1,0,6,4.8291082081627135
2012-01-01,8873359200,2012-01-01T00:00:00,28,7,1,0,6,-4.453771791758232
2012-02-01,8348839900,2012-02-01T00:00:00,45,12,1,0,3,-5.911169470069466
2012-03-01,8957755000,2012-03-01T00:00:00,66,13,1,1,3,7.29340971073118
2012-04-01,8583941100,2012-04-01T00:00:00,104,55,11,0,3,-4.173075731586762
2012-05-01,8701638900,2012-05-01T00:00:00,304,141,17,4,11,1.371139417533973
2012-06-01,8190368900,2012-06-01T00:00:00,101,33,7,3,10,-5.875559832757482
2012-07-01,8399085600,2012-07-01T00:00:00,258,110,25,8,27,2.548318672190697
2012-08-01,8344328600,2012-08-01T00:00:00,233,53,9,10,26,-0.651940015946495
2012-09-01,8029030100,2012-09-01T00:00:00,141,32,5,6,23,-3.7785963989960814
2012-10-01,8446202900,2012-10-01T00:00:00,39,17,4,4,15,5.1958056552808385
2012-11-01,8290892300,2012-11-01T00:00:00,9,7,1,3,15,-1.8388215608696745
2012-12-01,8410643500,2012-12-01T00:00:00,6,6,1,3,13,1.4443704690265902
2013-01-01,8740099100,2013-01-01T00:00:00,11,5,1,2,5,3.91712714966459
2013-02-01,7962578700,2013-02-01T00:00:00,18,7,1,2,5,-8.896013547489412
2013-03-01,8526284300,2013-03-01T00:00:00,23,7,1,1,4,7.079435208596441
2013-04-01,8364788000,2013-04-01T00:00:00,41,12,3,1,4,-1.8940994027140334
2013-05-01,8526197000,2013-05-01T00:00:00,351,144,20,9,6,1.9296245164850623
2013-06-01,8083923000,2013-06-01T00:00:00,103,35,8,9,8,-5.187236466621636
2013-07-01,8421280600,2013-07-01T00:00:00,146,42,14,9,8,4.17319165459642
2013-08-01,8435552800,2013-08-01T00:00:00,145,33,7,4,4,0.16947778702445238
2013-09-01,7980098100,2013-09-01T00:00:00,128,7,1,0,1,-5.399227659389439
2013-10-01,8453306300,2013-10-01T00:00:00,27,8,2,0,1,5.929854421213188
2013-11-01,8178584100,2013-11-01T00:00:00,22,6,2,0,0,-3.2498786894779808
2013-12-01,8461676700,2013-12-01T00:00:00,19,4,2,0,0,3.4613888729223996
2014-01-01,8572787800,2014-01-01T00:00:00,25,7,2,0,0,1.3131097291864124
2014-02-01,7660218400,2014-02-01T00:00:00,21,5,1,0,0,-10.644954958525865
2014-03-01,8588898900,2014-03-01T00:00:00,30,7,1,0,0,12.12342065860681
2014-04-01,8512610886,2014-04-01T00:00:00,63,36,9,2,0,-0.8882164627645128
2014-05-01,8545923100,2014-05-01T00:00:00,247,101,18,2,1,0.3913278128897746
2014-06-01,8047224700,2014-06-01T00:00:00,185,86,15,1,1,-5.8355123743156545
2014-07-01,8692806300,2014-07-01T00:00:00,210,100,24,1,5,8.022412994134488
2014-08-01,8776658000,2014-08-01T00:00:00,212,64,19,2,6,0.9646102432996795
2014-09-01,8184310800,2014-09-01T00:00:00,105,18,5,2,5,-6.749120223210248
2014-10-01,9000472000,2014-10-01T00:00:00,36,15,7,2,4,9.972265471638742
2014-11-01,8653529300,2014-11-01T00:00:00,29,11,4,2,4,-3.854716730411467
2014-12-01,9153477100,2014-12-01T00:00:00,18,7,2,0,4,5.777386112276761
2015-01-01,9016730800,2015-01-01T00:00:00,23,8,1,0,4,-1.493927373238313
2015-02-01,8247773500,2015-02-01T00:00:00,30,7,1,0,4,-8.528116421086896
2015-03-01,9090941400,2015-03-01T00:00:00,49,17,3,0,4,10.22297593405057
2015-04-01,8848310212,2015-04-01T00:00:00,152,123,21,1,4,-2.6689335826100447
2015-05-01,8770126100,2015-05-01T00:00:00,314,141,29,13,15,-0.8836050062300815
2015-06-01,8510411400,2015-06-01T00:00:00,244,150,47,26,55,-2.961356507747359
2015-07-01,8751321400,2015-07-01T00:00:00,224,105,35,29,58,2.8307679696894628
2015-08-01,8602924900,2015-08-01T00:00:00,134,30,8,16,44,-1.6957039196389245
2015-09-01,8347117600,2015-09-01T00:00:00,43,31,3,1,28,-2.973492189848126
2015-10-01,8756993300,2015-10-01T00:00:00,49,34,6,0,27,4.910386071474537
2015-11-01,8656328600,2015-11-01T00:00:00,39,14,4,1,27,-1.1495349665278431
2015-12-01,9134593000,2015-12-01T00:00:00,41,17,1,1,12,5.525025933049732
2016-01-01,9115988200,2016-01-01T00:00:00,52,16,2,1,12,-0.20367409910874157
2016-02-01,8738144100,2016-02-01T00:00:00,62,20,2,1,12,-4.144850692105983
2016-03-01,9237308700,2016-03-01T00:00:00,89,28,5,2,11,5.712478465535953
2016-04-01,8734040430,2016-04-01T00:00:00,166,120,18,5,8,-5.448213179234774
2016-05-01,8680566600,2016-05-01T00:00:00,173,81,16,8,9,-0.6122461926822087
2016-06-01,8354547500,2016-06-01T00:00:00,242,138,18,10,9,-3.755735253502923
2016-07-01,8775596400,2016-07-01T00:00:00,157,59,18,5,8,5.03975709037503
2016-08-01,8925258400,2016-08-01T00:00:00,106,24,5,3,5,1.705433946346946
2016-09-01,8581672500,2016-09-01T00:00:00,74,5,2,1,3,-3.849590505973477
2016-10-01,8727082000,2016-10-01T00:00:00,22,2,1,0,2,1.6944191240110928
2016-11-01,8621788200,2016-11-01T00:00:00,22,3,1,0,2,-1.2065178257749887
2016-12-01,8924453700,2016-12-01T00:00:00,16,5,2,0,2,3.510472456282332
2017-01-01,9083690900,2017-01-01T00:00:00,17,7,1,0,2,1.784279524022847
2017-02-01,8197831400,2017-02-01T00:00:00,18,5,2,1,2,-9.752197754769487
2017-03-01,9278660300,2017-03-01T00:00:00,23,5,2,0,2,13.184327016044751
2017-04-01,8999862900,2017-04-01T00:00:00,75,35,4,4,3,-3.0047161010948953
2017-05-01,9039225300,2017-05-01T00:00:00,227,83,15,7,4,0.4373666625521633
2017-06-01,8838860700,2017-06-01T00:00:00,119,46,18,8,4,-2.2166125231993017
2017-07-01,9262628300,2017-07-01T00:00:00,192,58,12,3,5,4.794369029936174
2017-08-01,8968245300,2017-08-01T00:00:00,161,67,13,5,13,-3.178179998867059
2017-09-01,8870063200,2017-09-01T00:00:00,54,15,4,4,13,-1.094774916560326
2017-10-01,9143094400,2017-10-01T00:00:00,35,20,3,4,9,3.07812011982056
2017-11-01,9217832900,2017-11-01T00:00:00,12,8,1,3,7,0.8174311314121496
2017-12-01,9544256300,2017-12-01T00:00:00,14,6,2,3,3,3.5412162873987407
2018-01-01,9491330700,2018-01-01T00:00:00,16,7,4,0,3,-0.5545282768653181
2018-02-01,8532434000,2018-02-01T00:00:00,21,9,4,0,3,-10.102868926482566
2018-03-01,9505107100,2018-03-01T00:00:00,28,10,4,0,3,11.39971431364133
2018-04-01,9064061100,2018-04-01T00:00:00,69,46,13,0,3,-4.640095007451306
2018-05-01,9002809000,2018-05-01T00:00:00,267,131,32,6,13,-0.6757688339060319
2018-06-01,8641039600,2018-06-01T00:00:00,196,99,38,8,13,-4.0184058108974625
2018-07-01,9063169900,2018-07-01T00:00:00,112,38,17,7,14,4.885179556404307
2018-08-01,9210779400,2018-08-01T00:00:00,110,40,17,4,11,1.6286740911698017
2018-09-01,8782362900,2018-09-01T00:00:00,45,11,3,1,9,-4.6512513371018365
2018-10-01,9136385700,2018-10-01T00:00:00,32,22,4,2,5,4.031065489220453
2018-11-01,8990459900,2018-11-01T00:00:00,11,11,2,2,6,-1.5971939538410695
2018-12-01,9486306000,2018-12-01T00:00:00,17,11,4,2,5,5.515247334566276
2019-01-01,9253893800,2019-01-01T00:00:00,52,13,4,0,2,-2.4499757861490057
2019-02-01,7981058100,2019-02-01T00:00:00,52,12,4,0,2,-13.754595930201841
2019-03-01,9223366400,2019-03-01T00:00:00,66,17,5,0,1,15.565709263537375
2019-04-01,8877068800,2019-04-01T00:00:00,135,66,8,0,2,-3.7545683970659605
2019-05-01,8937726600,2019-05-01T00:00:00,189,94,21,5,7,0.6833088868253512
2019-06-01,8352580300,2019-06-01T00:00:00,116,44,18,6,8,-6.5469254787901
2019-07-01,8737534900,2019-07-01T00:00:00,98,58,26,11,15,4.608810525293605
2019-08-01,8702985600,2019-08-01T00:00:00,74,4,2,5,11,-0.3954124406415849
2019-09-01,8263800200,2019-09-01T00:00:00,20,4,2,0,5,-5.046376268851926
2019-10-01,8818772900,2019-10-01T00:00:00,14,5,2,0,3,6.715708107270069
2019-11-01,8749348900,2019-11-01T00:00:00,4,0,1,0,3,-0.7872297063007516
2019-12-01,9157734000,2019-12-01T00:00:00,3,0,1,0,3,4.667605608915659
2020-01-01,8692327800,2020-01-01T00:00:00,9,0,1,0,3,-5.082110923946903
2020-02-01,8359921400,2020-02-01T00:00:00,10,0,1,0,3,-3.824135578504073
2020-03-01,8779060200,2020-03-01T00:00:00,15,0,1,0,3,5.013669147654909
2020-04-01,8314961900,2020-04-01T00:00:00,56,15,1,0,3,-5.2864234830056205
2020-05-01,8397966800,2020-05-01T00:00:00,137,62,8,1,4,0.998259535019641
2020-06-01,8048516199,2020-06-01T00:00:00,63,19,3,0,3,-4.161133394811712
2020-07-01,8263358899,2020-07-01T00:00:00,73,7,4,0,3,2.6693454381901294
2020-08-01,8286585600,2020-08-01T00:00:00,167,12,4,0,3,0.2810806269446964
2020-09-01,7894861600,2020-09-01T00:00:00,74,12,3,0,3,-4.727206341777245
2020-10-01,8525690900,2020-10-01T00:00:00,35,14,5,0,3,7.990378197383463
2020-11-01,8409946300,2020-11-01T00:00:00,13,5,3,0,1,-1.3575978927408694
2020-12-01,8747490200,2020-12-01T00:00:00,10,4,2,0,1,4.0136272927212335
2021-01-01,8678140300,2021-01-01T00:00:00,18,4,2,0,2,-0.7927976872726283
2021-02-01,7596222700,2021-02-01T00:00:00,26,3,2,0,2,-12.467159582566323
2021-03-01,8859956200,2021-03-01T00:00:00,43,12,3,0,2,16.6363408487221
2021-04-01,8620962500,2021-04-01T00:00:00,85,62,12,2,3,-2.69745915899674
2021-05-01,8749015900,2021-05-01T00:00:00,171,91,16,2,3,1.4853724279626501
2021-06-01,8382386300,2021-06-01T00:00:00,112,55,11,3,4,-4.190523873662178
2021-07-01,8845650800,2021-07-01T00:00:00,237,106,30,15,13,5.526642216429467
2021-08-01,8976377300,2021-08-01T00:00:00,115,57,17,14,11,1.477861866308361
2021-09-01,8522006000,2021-09-01T00:00:00,76,20,2,5,8,-5.0618560786209414
2021-10-01,9007992400,2021-10-01T00:00:00,45,18,5,4,8,5.702723044316094
2021-11-01,8885024500,2021-11-01T00:00:00,16,5,2,1,8,-1.3650977325424973
2021-12-01,8886208200,2021-12-01T00:00:00,2,2,1,1,7,0.013322416837446838
2022-01-01,8974450500,2022-01-01T00:00:00,0,0,0,0,0,0.9930253491022167
2022-02-01,8312777399,2022-02-01T00:00:00,0,0,0,0,0,-7.372853647139732
2022-03-01,9395985900,2022-03-01T00:00:00,0,0,0,0,0,13.030644861611563
2022-04-01,9313379500,2022-04-01T00:00:00,0,0,0,0,0,-0.8791669216957843
2022-05-01,9360701600,2022-05-01T00:00:00,0,0,0,0,0,0.5081087912288007
2022-06-01,8947685999,2022-06-01T00:00:00,0,0,0,0,0,-4.41222911111706
2022-07-01,9583466600,2022-07-01T00:00:00,0,0,0,0,0,7.105530983888508
2022-08-01,9465357600,2022-08-01T00:00:00,0,0,0,0,0,-1.2324246009267625
2022-09-01,9232505500,2022-09-01T00:00:00,0,0,0,0,0,-2.4600454609343014
2022-10-01,9596754600,2022-10-01T00:00:00,0,0,0,0,0,3.9452898240894596
2022-11-01,9342720100,2022-11-01T00:00:00,0,0,0,0,0,-2.647087589381514
2022-12-01,9406691699,2022-12-01T00:00:00,0,0,0,0,0,0.6847213479080905
2023-01-01,9720415200,2023-01-01T00:00:00,0,0,0,0,0,3.335109845615025
2023-02-01,8817080200,2023-02-01T00:00:00,0,0,0,0,0,-9.293172991211318
2023-03-01,9712864100,2023-03-01T00:00:00,0,0,0,0,0,10.159643325009116
2023-04-01,9422563600,2023-04-01T00:00:00,0,0,0,0,0,-2.988824892546371
2023-05-01,8512233800,2023-05-01T00:00:00,0,0,0,0,0,-9.661169068681053
2023-06-01,8785532399,2023-06-01T00:00:00,0,0,0,0,0,3.210656631635289
2023-07-01,9727126299,2023-07-01T00:00:00,0,0,0,0,0,10.717550823751743
2023-08-01,9791405500,2023-08-01T00:00:00,0,0,0,0,0,0.6608241635210232
2023-09-01,9221442100,2023-09-01T00:00:00,0,0,0,0,0,-5.821058069753116
2023-10-01,9567778500,2023-10-01T00:00:00,0,0,0,0,0,3.7557726464497287
2023-11-01,9651768499,2023-11-01T00:00:00,0,0,0,0,0,0.8778422180237611
2023-12-01,10013424500,2023-12-01T00:00:00,0,0,0,0,0,3.7470438815173646
